"CNTR_CODE","CNTR_NAME","CNTR_CODE_iso2","CNTR_CODE_iso3","CNTR_CODE_Eurostat","AGR","MIN","MFG","EGW","CNS","TRD","OTP","WTP","CMN","OFI","OBS","REA","PUB","OSG"
"DK","Denmark","DK","DNK","DK",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EE","Estonia","EE","EST","EE",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EL","Greece","GR","GRC","EL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ES","Spain","ES","ESP","ES",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FI","Finland","FI","FIN","FI",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FR","France","FR","FRA","FR",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HR","Croatia","HR","HRV","HR",0.00313484434543495,6.26052442941744e-05,0.000139256536987683,5.62999367592781e-05,0.000327754206009843,0.000336555423058226,0.000202099682636128,0.000271235054442488,0.000237330672637177,0.000311049374360652,0.000238945097036506,0.000358332770631435,0.000246877874119834,0.000299478580378366
"HU","Hungary","HU","HUN","HU",0.00420790589571392,0.000236215617328171,0.000525428328287663,0.000248523861073581,0.00139484135024759,0.00148565092641777,0.000795169501038858,0.00119730832517217,0.00104764478452565,0.00137306000593138,0.00107294369649969,0.00140987500184195,0.00109101578525098,0.00133889096679296
"IE","Ireland","IE","IRL","IE",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IS","Iceland","IS","ISL","IS",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IT","Italy","IT","ITA","IT",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LI","Liechtenstein","LI","LIE","LI",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LT","Lithuania","LT","LTU","LT",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LU","Luxembourg","LU","LUX","LU",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LV","Latvia","LV","LVA","LV",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDA","Moldova (the Republic of)","MD","MDA","MD",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ME","Montenegro","ME","MNE","ME",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MK","North Macedonia","MK","MKD","MK",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MT","Malta","MT","MLT","MT",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NL","Netherlands (the)","NL","NLD","NL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NO","Norway","NO","NOR","NO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PL","Poland","PL","POL","PL",0.00047453257032873,4.26160902566352e-05,9.47934828144383e-05,7.69861324108051e-05,0.000407833174904735,0.000460215443472325,0.000214338645308181,0.000370894516365866,0.000324532701820132,0.000425337748125992,0.000330635224103121,0.00038003305905706,0.000334413793860225,0.000405626314444962
"PT","Portugal","PT","PRT","PT",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RO","Romania","RO","ROU","RO",0.000157469312166138,7.83268592504498e-06,1.7422705230709e-05,7.63789265962975e-06,4.26625750245462e-05,4.56585627498306e-05,2.51793981669419e-05,3.67969193325809e-05,3.21973044160083e-05,4.21983019869046e-05,3.31534833382219e-05,4.46443229910317e-05,3.35542255870412e-05,4.03791789414361e-05
"SE","Sweden","SE","SWE","SE",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SI","Slovenia","SI","SVN","SI",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SK","Slovakia","SK","SVK","SK",0.00461437610270812,0.000239576945947132,0.000532905129767018,0.000235032119646049,0.00134345092330458,0.00140499863788412,0.000767963765918927,0.00113230943829478,0.000990770758507929,0.00129851999804447,0.00101052914880445,0.00136163788283498,0.00102952812378748,0.00124521370989377
"TR","Turkey","TR","TUR","TR",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UK","United Kingdom","GB","GBR","UK",0,0,0,0,0,0,0,0,0,0,0,0,0,0
